Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Subway,Sandwiches,"Chicken Pizziola Melt, 6 in","Chicken Pizziola Melt on 9 Grain Wheat Bread w/ Lettuce, Tomatoes, Onions, Green Peppers & Cucumbers, 6 in Limited Time Offer, Regional Subs, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,293,g,,460,49,32,23862
Subway,Sandwiches,"Cold Cut Combo, 6 in","Cold Cut Combo on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,224,g,,360,46,17,705
Subway,Sandwiches,"Cold Cut Combo, Footlong","Cold Cut Combo w/ Turkey, Ham, Salami, Bologna & Vegetables, All Sandwiches, Footlong",,448,g,,720,92,34,23909
Subway,Sandwiches,"Egg & Cheese Omelet on Flatbread w/ Regular Egg, 6 in","Egg & Cheese Omelet on Flatbread w/ Regular Egg, Breakfast & Pizza, 6 in",,183,g,,370,42,19,23968
Subway,Sandwiches,"Egg & Cheese Omelet w/ Ham on Flatbread, 6 in","Egg & Cheese Omelet on Flatbread w/ Ham & Regular Egg, Breakfast & Pizza, 6 in",,211,g,,400,43,23,23967
Subway,Sandwiches,"Egg & Cheese on Flatbread, 3 in","Egg & Cheese on Flatbread, Breakfast, 3 in",,91,g,,190,21,9,23966
Subway,Sandwiches,"Egg & Cheese Sandwich, 6 in","Egg & Cheese Omelet Sandwich on 9 Grain Wheat Bread w/ American Cheese & Regular Egg w/out Veggies or Sauces, 6 in Omelet Sandwiches, Breakfast, 6 in",,174,g,,360,44,19,23864
Subway,Sandwiches,"Egg & Cheese, Breakfast, Footlong","Egg & Cheese w/ Egg Omelet & Cheese, Breakfast, Footlong",,348,g,,720,88,38,23910
Subway,Sandwiches,"Egg White & Cheese Omelet on Flatbread, 6 in","Egg White & Cheese Omelet on Flatbread, Breakfast & Pizza, 6 in",,183,g,,330,42,19,23970
Subway,Sandwiches,"Egg White & Cheese Omelet Sandwich, 6 in","Egg White & Cheese Omelet Sandwich on 9 Grain Wheat Bread w/ Egg White, 6 in Omelet Sandwich, Breakfast, 6 in",,174,g,,320,44,19,23865
Subway,Sandwiches,"Egg White & Cheese Omelet w/ Ham on Flatbread, 6 in","Egg White & Cheese Omelet w/ Ham on Flatbread, Breakfast & Pizza, 6 in",,211,g,,360,43,23,23971
Subway,Sandwiches,"Egg White & Cheese on Flatbread, 3 in","Egg White & Cheese on Flatbread, Breakfast, 3 in",,91,g,,170,21,9,23969
Subway,Sandwiches,"Egg White, Cheese & Ham Omelet Sandwich, 6 in","Egg White, Cheese & Ham Omelet Sandwich on 9 Grain Wheat Bread w/ Egg White, 6 in Omelet Sandwich, Breakfast, 6 in",,203,g,,350,45,24,23866
Subway,Sandwiches,"Italian BMT, 6 in","Italian BMT on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Simple $6 Menu, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,224,g,,410,46,20,582
Subway,Sandwiches,"Italian BMT, Footlong","Italian BMT w/ Genoa Salami, Spicy Pepperoni & Black Forest Ham, All Sandwiches, Footlong",,448,g,,820,92,40,23912
