Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Taco Bell,Sandwiches,Fresco Grilled Steak Soft Taco,"Fresco Grilled Soft Taco w/ Warm Soft Flour Tortilla, Marinated Premium Thick Cut Steak, Crisp Shredded Lettuce, Diced Ripe Tomatoes & Pico De Gallo, Tacos",,120,g,1 Taco,150,16,12,2745
Taco Bell,Sandwiches,Fresco Soft Taco w/ Beef,"Fresco Soft Taco w/ Beef, Warm Soft Flour Tortilla, Crisp Shredded Lettuce & Pico De Gallo, Tacos",,106,g,1 Taco,160,17,8,2743
Taco Bell,Sandwiches,Gordita Supreme w/ Beef,"Gordita Supreme w/ Beef, Flatbread, Reduced Fat Sour Cream, Crisp Shredded Lettuce, 3 Cheese Blend & Diced Ripe Tomatoes, Gorditas, Fresco Option For a 25% Reduction In Fat",,153,g,1 Gordita,290,31,13,2749
Taco Bell,Sandwiches,Gordita Supreme w/ Chicken,"Gordita Supreme w/ Chicken, Flatbread, Reduced Fat Sour Cream, Crisp Shredded Lettuce, 3 Cheese Blend & Diced Ripe Tomatoes, Gorditas, Fresco Option For a 25% Reduction In Fat",,153,g,1 Gordita,270,31,17,2750
Taco Bell,Sandwiches,Gordita Supreme w/ Steak,"Gordita Supreme w/ Marinated Premium Thick Cut Steak, Flatbread, Reduced Fat Sour Cream, Crisp Shredded Lettuce, 3 Cheese Blend & Diced Ripe Tomatoes, Gorditas, Fresco Option For a 25% Reduction In Fat",,153,g,1 Gordita,280,30,17,2751
Taco Bell,Sandwiches,Grande Scrambler Burrito w/ Bacon,"Grande Scrambler Burrito w/ Bacon, Warm Flour Tortilla, Fluffy Scrambled Eggs, Seasoned Breakfast Potatoes, Warm Nacho Cheese Sauce, Freshly Prepared Pico De Gallo, Reduced Fat Sour Cream & Real Cheddar Cheese, Breakfast, Fresco Option Available For a 25% Reduction In Fat",,293,g,1 Burrito,680,68,22,102430
Taco Bell,Sandwiches,Grande Scrambler Burrito w/ Sausage,"Grande Scrambler Burrito w/ Sausage, Warm Flour Tortilla, Fluffy Scrambled Eggs, Seasoned Breakfast Potatoes, Warm Nacho Cheese Sauce, Freshly Prepared Pico De Gallo, Reduced Fat Sour Cream & Real Cheddar Cheese, Breakfast, Fresco Option Available For a 25% Reduction In Fat",,292,g,1 Burrito,670,67,19,102431
Taco Bell,Sandwiches,Grande Scrambler Burrito w/ Steak,"Grande Scrambler Burrito w/ Tender Grilled Marinated Steak, Warm Flour Tortilla, Fluffy Scrambled Eggs, Seasoned Breakfast Potatoes, Warm Nacho Cheese Sauce, Freshly Prepared Pico De Gallo, Reduced Fat Sour Cream & Real Cheddar Cheese, Breakfast, Fresco Option Available For a 25% Reduction In Fat",,320,g,1 Burrito,670,68,26,102418
Taco Bell,Sandwiches,Grilled Breakfast Burrito w/ Bacon,"Grilled Breakfast Burrito w/ Bacon, Fluffy Scrambled Eggs, Freshly Prepared Pico De Gallo & Warm Nacho Cheese Sauce Wrapped In a Tortilla, Breakfast",,129,g,1 Burrito,350,36,13,102433
Taco Bell,Sandwiches,Grilled Breakfast Burrito w/ Fiesta Potato,"Grilled Breakfast Burrito w/ Seasoned Fiesta Potatoes, Fluffy Scrambled Eggs, Freshly Prepared Pico De Gallo & Warm Nacho Cheese Sauce Wrapped In a Tortilla, Breakfast",,157,g,1 Burrito,340,43,10,102419
Taco Bell,Sandwiches,Grilled Breakfast Burrito w/ Sausage,"Grilled Breakfast Burrito w/ Sausage, Fluffy Scrambled Eggs, Freshly Prepared Pico De Gallo & Warm Nacho Cheese Sauce Wrapped In a Tortilla, Breakfast",,129,g,1 Burrito,340,36,13,102434
Taco Bell,Sandwiches,Grilled Steak Soft Taco,"Grilled Steak Soft Taco w/ Warm Soft Flour Tortilla, Real Cheddar Cheese, Crisp Shredded Lettuce, Diced Ripe Tomatoes & Avocado Ranch Sauce, Tacos, Fresco Option For a 25% Reduction In Fat",,112,g,1 Taco,200,16,13,2744
Taco Bell,Sandwiches,Loaded Potato Griller,"Loaded Potato Griller w/ Crispy Potato Bites, Warm Nacho Cheese Sauce, Flavorful Bacon, Reduced Fat Sour Cream & Warm Flour Tortilla, Specialties",,177,g,1 Griller,450,54,13,34585
